,title,price,rating,reviews,link,req
184,Футболка оверсайз y2k с принтом винтаж Pressure by WD,1005,4.7,11115,https://www.wildberries.ru/catalog/205859048/detail.aspx,Футболка
185,Футболка оверсайз с принтом MOSCOW ТЕЛОДВИЖЕНИЯ,859,4.8,26528,https://www.wildberries.ru/catalog/332646312/detail.aspx,Футболка
186,Футболка мужская с принтом молочная с надписью хлопок Макс-Экстрим,681,4.8,59950,https://www.wildberries.ru/catalog/228274090/detail.aspx,Футболка
187,Футболка мужская серо-синяя с принтом Дракон Макс-Экстрим,818,4.9,691,https://www.wildberries.ru/catalog/191354997/detail.aspx,Футболка
188,Футболка хлопковая с принтом HOT_SHOP,394,4.5,15002,https://www.wildberries.ru/catalog/210889442/detail.aspx,Футболка
189,"Футболка самбо, серая спортивная с принтом, премиум хлопок Макс-Экстрим",818,4.9,2526,https://www.wildberries.ru/catalog/376425467/detail.aspx,Футболка
190,Футболка Варенка двухцветная YOURBUNNY,1284,4.8,766,https://www.wildberries.ru/catalog/275063852/detail.aspx,Футболка
191,Футболка оверсайз женская летняя ТЕЛОДВИЖЕНИЯ,1138,4.8,130950,https://www.wildberries.ru/catalog/323203656/detail.aspx,Футболка
192,Футболка оверсайз memes by CoLepen,937,4.8,20871,https://www.wildberries.ru/catalog/229525446/detail.aspx,Футболка
193,Футболка светящаяся для девочки CRIMSON CAT,683,4.9,4730,https://www.wildberries.ru/catalog/258109902/detail.aspx,Футболка
194,Футболка мужская тай дай зеленая с принтом Воины Мира Викинг Макс-Экстрим,921,4.9,16908,https://www.wildberries.ru/catalog/46001564/detail.aspx,Футболка
195,"Футболка мужская с принтом ""Лаборатория клоунов"" KRASAR",2176,4.8,996,https://www.wildberries.ru/catalog/25699284/detail.aspx,Футболка
196,"Футболка мужская RED FLAME""",1094,4.9,117,https://www.wildberries.ru/catalog/338845318/detail.aspx,Футболка
197,Футболка ВСЕ черная хлопок Mother Russia,944,4.9,511,https://www.wildberries.ru/catalog/34149050/detail.aspx,Футболка
198,Плотная футболка оверсайз с принтом мем ChupChi,1335,4.9,2024,https://www.wildberries.ru/catalog/297853495/detail.aspx,Футболка
199,Футболка Магазин с надписью черная хлопок Mother Russia,900,4.8,391,https://www.wildberries.ru/catalog/65755836/detail.aspx,Футболка
